Effective Date,County,Trade Title,Region,Type,Class,Base Wage,Foreman Wage,OT M-F,OT Sa,OT Su,OT Hol,H/W,Pension,Vacation,Training,Other Fringe Benefit
4/5/2019,Adams,ASBESTOS ABT-GEN,All,BLD,,25.40,27.15,1.5,1.5,2,2,9.25,12.13,0.00,0.80,0.00
8/15/2018,Adams,ASBESTOS ABT-MEC,ALL,BLD,,31.56,32.56,1.5,1.5,2,2,8.25,3.00,0.00,0.00,
8/15/2018,Adams,BOILERMAKER,All,BLD,,37.00,39.50,1.5,1.5,2,2,7.07,23.72,1.50,1.05,0.00
8/15/2018,Adams,BRICK MASON,All,BLD,,30.29,31.80,1.5,1.5,2,2,9.10,11.18,0.00,0.85,0.00
4/5/2019,Adams,CARPENTER,All,BLD,,32.24,34.49,1.5,1.5,2,2,8.55,17.50,0.00,0.54,0.00
8/15/2018,Adams,CARPENTER,All,HWY,,33.30,35.05,1.5,1.5,2,2,8.55,17.50,0.00,0.52,0.00
4/5/2019,Adams,CEMENT MASON,All,BLD,,29.00,30.50,1.5,1.5,2,2,9.10,12.98,0.00,0.57,0.00
4/5/2019,Adams,CEMENT MASON,All,HWY,,29.00,30.25,1.5,1.5,2,2,9.10,13.26,0.00,0.65,0.00
8/15/2018,Adams,CERAMIC TILE FNSHER,All,BLD,,31.03,31.03,1.5,1.5,2,2,9.10,8.71,0.00,0.15,0.00
8/15/2018,Adams,ELECTRIC PWR EQMT OP,All,ALL,,45.09,56.52,1.5,1.5,2,2,7.10,12.62,0.00,0.45,0.00
8/15/2018,Adams,ELECTRIC PWR GRNDMAN,All,ALL,,30.81,56.52,1.5,1.5,2,2,6.67,8.62,0.00,0.31,0.00
8/15/2018,Adams,ELECTRIC PWR LINEMAN,All,ALL,,50.11,56.52,1.5,1.5,2,2,7.25,14.03,0.00,0.50,0.00
8/15/2018,Adams,ELECTRIC PWR TRK DRV,All,ALL,,32.32,56.52,1.5,1.5,2,2,6.72,9.05,0.00,0.32,0.00
4/5/2019,Adams,ELECTRICIAN,All,BLD,,30.41,32.91,1.5,1.5,2,2,7.30,9.62,0.00,0.80,0.00
8/15/2018,Adams,ELECTRONIC SYS TECH,All,BLD,,28.25,30.25,1.5,1.5,2,2,7.35,12.00,0.00,0.40,0.00
8/15/2018,Adams,ELEVATOR CONSTRUCTOR,All,BLD,,44.78,50.38,2,2,2,2,15.43,16.61,3.58,0.61,0.00
4/5/2019,Adams,GLAZIER,All,BLD,,35.91,37.91,1.5,1.5,2,2,6.25,10.20,0.00,0.68,0.00
11/16/2018,Adams,HT/FROST INSULATOR,ALL,BLD,,38.70,39.70,1.5,1.5,2,2,10.26,12.21,3.90,0.70,0.00
4/5/2019,Adams,IRON WORKER,All,ALL,,26.25,28.50,1.5,1.5,2,2,8.13,14.37,0.00,0.60,0.00
4/5/2019,Adams,LABORER,All,BLD,,23.90,25.65,1.5,1.5,2,2,9.25,12.13,0.00,0.80,0.00
4/5/2019,Adams,LABORER,All,HWY,,28.50,30.00,1.5,1.5,2,2,9.25,14.00,0.00,0.80,0.00
8/15/2018,Adams,LATHER,All,BLD,,32.24,34.49,1.5,1.5,2,2,8.55,17.50,0.00,0.54,0.00
8/15/2018,Adams,MACHINIST,All,BLD,,48.38,50.88,1.5,1.5,2,2,7.23,8.95,1.85,1.47,0.00
8/15/2018,Adams,MARBLE FINISHERS,ALL,BLD,,30.48,30.48,1.5,1.5,2,2,8.57,8.58,0.00,0.10,
8/15/2018,Adams,MARBLE MASON,All,BLD,,30.29,31.80,1.5,1.5,2,2,9.10,11.18,0.00,0.85,0.00
4/5/2019,Adams,MILLWRIGHT,All,BLD,,32.24,34.49,1.5,1.5,2,2,8.55,17.96,0.00,0.54,0.00
8/15/2018,Adams,MILLWRIGHT,All,HWY,,34.98,36.73,1.5,1.5,2,2,8.55,18.52,0.00,0.52,0.00
